Age,Gender,Country,Education Level,Role,Programming Experience,ML Experience,Company Size,Company Data Scientists,Yearly Compensation,Spent Money (5years),Primary Tool,# of Languages,# of Visual tools,# of ML frameworks,# of ML algorithms
22-24,Man,India,Master’s degree,Student,I have never written code,,,,,,,0,0,0,0
30-34,Man,United States of America,Master’s degree,,,,,,,,,0,0,0,0
22-24,Man,India,Master’s degree,Student,1-2 years,Under 1 year,,,,,,1,2,1,1
25-29,Man,France,Master’s degree,Data Scientist,3-5 years,1-2 years,"10,000 or more employees",20+,"40,000-49,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",8,4,6,6
30-34,Man,China,Master’s degree,Data Scientist,5-10 years,5-10 years,0-49 employees,1-2,"20,000-24,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",2,3,3,4
30-34,Man,Australia,Master’s degree,Data Analyst,5-10 years,Under 1 year,250-999 employees,3-4,"60,000-69,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",2,3,1,2
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,10-20 years,5-10 years,"10,000 or more employees",3-4,"70,000-79,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",3,3,4,2
25-29,Man,South Africa,Bachelor’s degree,Statistician,I have never written code,,0-49 employees,0,$0-999,$0 ($USD),,0,0,0,0
25-29,Man,India,Master’s degree,Data Scientist,1-2 years,Under 1 year,0-49 employees,1-2,"10,000-14,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",2,3,4,4
45-49,Man,Spain,Master’s degree,Other,< 1 years,Under 1 year,0-49 employees,0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,1,1
18-21,Man,United Arab Emirates,Bachelor’s degree,Student,,,,,,,,0,0,0,0
55-59,Man,Brazil,Bachelor’s degree,Currently not employed,I have never written code,,,,,,,0,0,0,0
22-24,Man,India,Bachelor’s degree,Business Analyst,3-5 years,2-3 years,50-249 employees,3-4,"40,000-49,999",$1-$99,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,2,3,4
25-29,Man,India,Master’s degree,Business Analyst,3-5 years,2-3 years,"1000-9,999 employees",20+,$0-999,$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,2,3,4
35-39,Woman,Canada,Master’s degree,Machine Learning Engineer,3-5 years,2-3 years,"10,000 or more employees",10-14,"80,000-89,999","$100,000 or more ($USD)","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,4,5,4
70+,Man,Romania,Doctoral degree,Data Scientist,3-5 years,,,,,,,1,0,0,0
25-29,Woman,Sri Lanka,Master’s degree,Data Scientist,10-20 years,2-3 years,"1000-9,999 employees",3-4,$0-999,"$10,000-$99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,4,2,4
22-24,Man,India,Bachelor’s degree,Currently not employed,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",9,5,1,1
25-29,Man,Greece,Master’s degree,Student,3-5 years,1-2 years,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,1,2
18-21,Woman,India,Bachelor’s degree,Student,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,3,5,8
22-24,Man,France,Master’s degree,Product/Project Manager,1-2 years,I do not use machine learning methods,0-49 employees,0,,,,3,1,0,0
22-24,Woman,Indonesia,Bachelor’s degree,Student,1-2 years,2-3 years,,,,,"Advanced statistical software (SPSS, SAS, etc.)",3,1,1,2
22-24,Man,Russia,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,4,3
45-49,Man,India,Master’s degree,Product/Project Manager,5-10 years,2-3 years,50-249 employees,10-14,"20,000-24,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,5,4
55-59,Man,Turkey,Master’s degree,Other,5-10 years,4-5 years,0-49 employees,1-2,"100,000-124,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",4,4,2,2
40-44,Man,Canada,Doctoral degree,Data Scientist,10-20 years,3-4 years,0-49 employees,3-4,"150,000-199,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",4,4,4,2
30-34,Man,India,Doctoral degree,Other,< 1 years,Under 1 year,0-49 employees,1-2,$0-999,$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,1,2,6
30-34,Woman,South Africa,,,,,,,,,,0,0,0,0
22-24,Woman,Nigeria,Master’s degree,Currently not employed,1-2 years,1-2 years,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1,3,3,4
40-44,Man,Turkey,Master’s degree,Data Scientist,3-5 years,3-4 years,"1000-9,999 employees",20+,"15,000-19,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",4,4,4,4
40-44,Man,United States of America,Master’s degree,Other,10-20 years,1-2 years,50-249 employees,3-4,"150,000-199,999","$10,000-$99,999",Other,2,2,3,3
25-29,Man,Chile,Master’s degree,Other,5-10 years,Under 1 year,50-249 employees,1-2,"1,000-1,999","$1000-$9,999",Other,1,4,1,1
35-39,Woman,South Korea,Bachelor’s degree,Other,< 1 years,Under 1 year,250-999 employees,10-14,"40,000-49,999","$10,000-$99,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3,1,1,1
30-34,Woman,Thailand,Master’s degree,Business Analyst,< 1 years,I do not use machine learning methods,"1000-9,999 employees",20+,"15,000-19,999",$0 ($USD),,2,2,0,0
40-44,Man,China,Master’s degree,Software Engineer,10-20 years,4-5 years,50-249 employees,3-4,"80,000-89,999",$100-$999,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",4,2,7,6
55-59,Man,Canada,I prefer not to answer,Currently not employed,10-20 years,5-10 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,2,5,4
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer,3-5 years,2-3 years,"1000-9,999 employees",10-14,"80,000-89,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",2,3,4,3
30-34,Man,France,Master’s degree,Product/Project Manager,I have never written code,,0-49 employees,10-14,"50,000-59,999","$100,000 or more ($USD)","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",0,0,0,0
22-24,Man,India,Master’s degree,Student,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,4,4,1
18-21,Man,Bangladesh,Bachelor’s degree,Student,1-2 years,I do not use machine learning methods,,,,,,3,1,0,0
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,3-5 years,Under 1 year,"1000-9,999 employees",3-4,"25,000-29,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,2,1,4
25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,5-10 years,3-4 years,250-999 employees,5-9,"10,000-14,999",,,1,3,1,1
35-39,Man,India,Bachelor’s degree,Data Analyst,5-10 years,3-4 years,"10,000 or more employees",20+,"2,000-2,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,1,4
40-44,Woman,Other,Master’s degree,Research Scientist,< 1 years,4-5 years,250-999 employees,20+,"10,000-14,999",$0 ($USD),"Advanced statistical software (SPSS, SAS, etc.)",2,1,1,3
25-29,Man,China,Bachelor’s degree,Student,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,1,1,2
18-21,Man,India,Master’s degree,Data Scientist,3-5 years,Under 1 year,50-249 employees,20+,"50,000-59,999",$0 ($USD),,1,3,3,3
22-24,Man,India,Master’s degree,Student,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,2,1,2
18-21,Man,Japan,Master’s degree,Student,< 1 years,,,,,,,1,0,0,0
40-44,Prefer not to say,Other,Bachelor’s degree,Currently not employed,5-10 years,,,,,,,1,0,0,0
45-49,Man,Russia,Doctoral degree,Machine Learning Engineer,1-2 years,1-2 years,0-49 employees,1-2,"1,000-1,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,3,6,6
40-44,Man,Other,Master’s degree,Data Engineer,I have never written code,,"1000-9,999 employees",20+,"5,000-7,499",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
18-21,Man,India,Doctoral degree,Student,1-2 years,,,,,,,2,0,0,0
45-49,Woman,Netherlands,Bachelor’s degree,Data Analyst,3-5 years,I do not use machine learning methods,"1000-9,999 employees",20+,"40,000-49,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1,2,0,0
35-39,Man,Other,Master’s degree,Business Analyst,1-2 years,Under 1 year,"1000-9,999 employees",20+,"30,000-39,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,4,2,1
35-39,Man,India,Bachelor’s degree,Data Analyst,3-5 years,1-2 years,"10,000 or more employees",1-2,"15,000-19,999","$1000-$9,999","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,3,1,1
22-24,Man,Italy,Bachelor’s degree,Student,< 1 years,I do not use machine learning methods,,,,,,1,1,0,0
22-24,Woman,India,Bachelor’s degree,Software Engineer,1-2 years,Under 1 year,"10,000 or more employees",0,,,,1,4,2,1
22-24,Woman,Greece,,,,,,,,,,0,0,0,0
40-44,Man,Germany,Professional degree,Machine Learning Engineer,10-20 years,Under 1 year,"1000-9,999 employees",0,"60,000-69,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,1,2
22-24,Man,Ukraine,Master’s degree,Student,3-5 years,1-2 years,,,,,,4,5,6,0
45-49,Man,Brazil,Master’s degree,Data Scientist,3-5 years,3-4 years,250-999 employees,3-4,"70,000-79,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",3,6,5,5
25-29,Woman,"Iran, Islamic Republic of...",,,,,,,,,,0,0,0,0
35-39,Man,Brazil,Master’s degree,Data Analyst,3-5 years,1-2 years,0-49 employees,1-2,"7,500-9,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",3,3,4,5
18-21,Man,Brazil,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,5,3,10
22-24,Man,India,Doctoral degree,Software Engineer,5-10 years,Under 1 year,50-249 employees,10-14,$0-999,,,4,1,4,3
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Other,20+ years,4-5 years,0-49 employees,0,"30,000-39,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,1,1,2
25-29,Man,Nigeria,Master’s degree,Research Scientist,1-2 years,1-2 years,250-999 employees,10-14,"5,000-7,499",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",2,2,1,1
25-29,Man,Australia,Doctoral degree,Research Scientist,5-10 years,4-5 years,0-49 employees,5-9,"80,000-89,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",2,2,5,5
25-29,Woman,Indonesia,Bachelor’s degree,Data Analyst,1-2 years,,,,,,,2,0,0,0
35-39,Woman,United States of America,Master’s degree,Research Scientist,10-20 years,2-3 years,"1000-9,999 employees",5-9,"100,000-124,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,2,1,4
30-34,Man,Morocco,Master’s degree,Data Scientist,1-2 years,Under 1 year,50-249 employees,1-2,"100,000-124,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,1,1
40-44,Man,Colombia,Master’s degree,Product/Project Manager,I have never written code,,50-249 employees,1-2,"1,000-1,999",$1-$99,,0,0,0,0
22-24,Man,India,Master’s degree,Data Scientist,1-2 years,Under 1 year,0-49 employees,0,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,3,3,5
35-39,Man,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years,1-2 years,0-49 employees,0,"60,000-69,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",2,3,2,3
22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,3-4 years,"10,000 or more employees",20+,"25,000-29,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",4,3,3,6
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Statistician,20+ years,5-10 years,"1000-9,999 employees",20+,"100,000-124,999","$100,000 or more ($USD)","Advanced statistical software (SPSS, SAS, etc.)",2,4,2,4
25-29,Man,India,Bachelor’s degree,Currently not employed,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",5,4,5,3
55-59,Man,Pakistan,Master’s degree,Statistician,I have never written code,,50-249 employees,0,$0-999,$0 ($USD),,0,0,0,0
30-34,Man,Russia,No formal education past high school,Other,10-20 years,Under 1 year,250-999 employees,0,"30,000-39,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,2,3
30-34,Man,Japan,Master’s degree,Data Scientist,1-2 years,2-3 years,250-999 employees,3-4,"5,000-7,499","$100,000 or more ($USD)","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",6,2,6,4
60-69,Man,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,2-3 years,"1000-9,999 employees",15-19,"90,000-99,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,2,2,4
22-24,Man,Other,Master’s degree,Machine Learning Engineer,3-5 years,2-3 years,"1000-9,999 employees",5-9,"3,000-3,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",4,2,3,6
40-44,Woman,Brazil,Professional degree,Data Analyst,10-20 years,Under 1 year,"1000-9,999 employees",20+,"1,000-1,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,3,4
25-29,Man,Turkey,Bachelor’s degree,Data Engineer,5-10 years,Under 1 year,250-999 employees,0,"15,000-19,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,2,5,5
18-21,Woman,India,Bachelor’s degree,Software Engineer,3-5 years,1-2 years,250-999 employees,3-4,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",7,4,3,3
35-39,Man,India,Master’s degree,Business Analyst,I have never written code,,"1000-9,999 employees",0,"40,000-49,999",$1-$99,Other,0,0,0,0
30-34,Man,India,Doctoral degree,Data Scientist,5-10 years,4-5 years,50-249 employees,3-4,"1,000-1,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,3,5,4
25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,1-2 years,0-49 employees,3-4,"4,000-4,999","$1000-$9,999",,4,5,3,4
30-34,Man,Nigeria,Master’s degree,Other,5-10 years,1-2 years,250-999 employees,0,"2,000-2,999",$1-$99,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",2,1,3,2
25-29,Man,United States of America,Bachelor’s degree,Business Analyst,1-2 years,Under 1 year,"10,000 or more employees",0,"25,000-29,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,1,3
25-29,Woman,Republic of Korea,,,,,,,,,,0,0,0,0
40-44,Man,Peru,Bachelor’s degree,Other,1-2 years,Under 1 year,250-999 employees,0,"70,000-79,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,1,3
18-21,Man,Viet Nam,,,,,,,,,,0,0,0,0
18-21,Man,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,4,4,4
35-39,Man,India,Doctoral degree,Data Analyst,I have never written code,,0-49 employees,3-4,$0-999,$1-$99,,0,0,0,0
30-34,Man,India,Bachelor’s degree,Data Analyst,< 1 years,Under 1 year,"1000-9,999 employees",20+,"1,000-1,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,1,2
30-34,Woman,Germany,Master’s degree,Machine Learning Engineer,5-10 years,3-4 years,0-49 employees,3-4,"70,000-79,999","$1000-$9,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3,1,2,6
30-34,Woman,India,Master’s degree,Other,< 1 years,Under 1 year,50-249 employees,0,"4,000-4,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,1,1
22-24,Man,Taiwan,Bachelor’s degree,Product/Project Manager,1-2 years,Under 1 year,"1000-9,999 employees",0,"1,000-1,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,5,6,5
25-29,Man,Other,Master’s degree,Data Engineer,3-5 years,1-2 years,50-249 employees,5-9,"20,000-24,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,3,2,4
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,4,5
25-29,Man,Viet Nam,Master’s degree,Machine Learning Engineer,5-10 years,1-2 years,250-999 employees,5-9,"1,000-1,999","$1000-$9,999",,4,1,5,8
18-21,Man,India,Master’s degree,Student,3-5 years,2-3 years,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,1,3,6
25-29,Man,China,,,,,,,,,,0,0,0,0
40-44,Man,United States of America,Doctoral degree,Research Scientist,< 1 years,Under 1 year,0-49 employees,0,"70,000-79,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,3,1,2
18-21,Man,India,Bachelor’s degree,Student,1-2 years,I do not use machine learning methods,,,,,,4,1,0,0
25-29,Man,India,Master’s degree,Business Analyst,I have never written code,,"1000-9,999 employees",5-9,"10,000-14,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
18-21,Man,India,Master’s degree,Student,5-10 years,,,,,,,2,0,0,0
25-29,Woman,Turkey,Bachelor’s degree,Currently not employed,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,3,3,3
50-54,Man,India,Master’s degree,Currently not employed,< 1 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,1,1
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Under 1 year,0-49 employees,3-4,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,1,3,7
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,I have never written code,,,,,,Other,0,0,0,0
40-44,Man,Other,I prefer not to answer,Data Scientist,20+ years,Under 1 year,"1000-9,999 employees",3-4,"20,000-24,999","$100,000 or more ($USD)","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",6,1,1,1
18-21,Woman,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-2 years,Under 1 year,0-49 employees,1-2,"2,000-2,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,1,1,1
25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,2-3 years,"10,000 or more employees",20+,"7,500-9,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,1,1
40-44,Man,India,Master’s degree,Software Engineer,10-20 years,Under 1 year,"10,000 or more employees",20+,$0-999,$100-$999,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3,4,1,2
30-34,Man,United States of America,Doctoral degree,Research Scientist,3-5 years,Under 1 year,"10,000 or more employees",5-9,"125,000-149,999",$100-$999,"Advanced statistical software (SPSS, SAS, etc.)",2,2,3,3
22-24,Woman,Egypt,Bachelor’s degree,Currently not employed,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,1,2,1
25-29,Man,Malaysia,Master’s degree,Student,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,3,3,4
22-24,Man,Philippines,Bachelor’s degree,Software Engineer,1-2 years,1-2 years,250-999 employees,1-2,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",4,4,1,7
35-39,Woman,Russia,Some college/university study without earning a bachelor’s degree,Student,< 1 years,I do not use machine learning methods,,,,,,1,3,0,0
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,< 1 years,Under 1 year,,,,,,3,2,1,2
25-29,Man,United States of America,Master’s degree,Data Scientist,5-10 years,3-4 years,"1000-9,999 employees",20+,"150,000-199,999","$100,000 or more ($USD)","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3,3,4,3
55-59,Prefer not to say,Russia,Master’s degree,Currently not employed,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,1,1,2
25-29,Man,Pakistan,Bachelor’s degree,Machine Learning Engineer,1-2 years,Under 1 year,0-49 employees,1-2,$0-999,$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",1,2,3,3
22-24,Woman,Germany,Master’s degree,Data Engineer,5-10 years,Under 1 year,"10,000 or more employees",20+,"70,000-79,999",,,1,2,3,2
30-34,Woman,Other,Master’s degree,Data Scientist,5-10 years,,,,,,,2,0,0,0
25-29,Man,Netherlands,Master’s degree,Other,I have never written code,,"10,000 or more employees",20+,"40,000-49,999",$1-$99,,0,0,0,0
25-29,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,6,4,3
40-44,Man,Egypt,Bachelor’s degree,Data Analyst,< 1 years,Under 1 year,250-999 employees,1-2,"7,500-9,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1,2,1,1
25-29,Man,Canada,Master’s degree,Other,1-2 years,Under 1 year,0-49 employees,0,"25,000-29,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,2,2
40-44,Man,Mexico,Master’s degree,Student,< 1 years,Under 1 year,,,,,,2,1,1,1
25-29,Man,Israel,Doctoral degree,Student,3-5 years,4-5 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,4,3,5
35-39,Man,United States of America,Master’s degree,Business Analyst,5-10 years,I do not use machine learning methods,"10,000 or more employees",20+,"100,000-124,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,0,0
25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years,,,,,,,0,0,0,0
25-29,Man,China,I prefer not to answer,Data Analyst,3-5 years,2-3 years,50-249 employees,3-4,"10,000-14,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",1,2,1,2
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,3,4
25-29,Man,India,Master’s degree,Software Engineer,3-5 years,1-2 years,"10,000 or more employees",20+,"20,000-24,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",3,4,5,3
55-59,Man,India,Master’s degree,Business Analyst,10-20 years,4-5 years,50-249 employees,20+,"100,000-124,999",$100-$999,,6,3,2,3
22-24,Man,Sweden,Master’s degree,Data Scientist,3-5 years,2-3 years,0-49 employees,1-2,$0-999,"$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",1,2,1,1
30-34,Man,Greece,Master’s degree,Data Scientist,5-10 years,5-10 years,"1000-9,999 employees",5-9,"40,000-49,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",1,2,4,4
22-24,Woman,Malaysia,Master’s degree,Student,3-5 years,Under 1 year,,,,,,2,3,2,1
35-39,Man,Spain,Master’s degree,Data Scientist,5-10 years,5-10 years,"10,000 or more employees",20+,"70,000-79,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",4,3,2,1
35-39,Man,Russia,Master’s degree,Data Scientist,< 1 years,Under 1 year,0-49 employees,0,"10,000-14,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,4,5,2
30-34,Man,India,Doctoral degree,,,,,,,,,0,0,0,0
22-24,Man,United States of America,Master’s degree,Student,< 1 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
18-21,Woman,India,Master’s degree,Currently not employed,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,4,1,1
45-49,Man,Other,Doctoral degree,Machine Learning Engineer,1-2 years,4-5 years,"1000-9,999 employees",5-9,$0-999,$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,3,6
30-34,Man,"Iran, Islamic Republic of...",,,,,,,,,,0,0,0,0
22-24,Woman,India,Master’s degree,Student,< 1 years,Under 1 year,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,2,4,4
25-29,Man,Turkey,Master’s degree,Software Engineer,3-5 years,1-2 years,,,,,,4,1,5,0
25-29,Man,India,Master’s degree,Software Engineer,< 1 years,I do not use machine learning methods,250-999 employees,0,"4,000-4,999",$0 ($USD),,1,1,0,0
55-59,Man,United States of America,Master’s degree,Product/Project Manager,20+ years,2-3 years,"10,000 or more employees",20+,"100,000-124,999",$0 ($USD),Other,5,4,3,2
55-59,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,5-10 years,1-2 years,0-49 employees,1-2,"50,000-59,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,3,2,6
30-34,Man,Chile,Master’s degree,Currently not employed,1-2 years,Under 1 year,,,,,,1,3,3,3
18-21,Woman,India,Bachelor’s degree,Product/Project Manager,< 1 years,Under 1 year,,,,,,2,2,2,4
40-44,Man,Germany,Master’s degree,Data Scientist,3-5 years,1-2 years,0-49 employees,1-2,"40,000-49,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",3,4,4,4
35-39,Man,Other,Bachelor’s degree,Other,< 1 years,Under 1 year,0-49 employees,0,"10,000-14,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,2,4,2
35-39,Man,Russia,Doctoral degree,Research Scientist,5-10 years,Under 1 year,0-49 employees,0,"7,500-9,999",$0 ($USD),,5,1,1,1
22-24,Man,Brazil,Some college/university study without earning a bachelor’s degree,Student,< 1 years,I do not use machine learning methods,,,,,Other,1,1,0,0
22-24,Man,Brazil,Master’s degree,Student,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,1,1
50-54,Prefer not to say,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,3-5 years,Under 1 year,"10,000 or more employees",0,"50,000-59,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,2,1,1
22-24,Man,Other,Master’s degree,Software Engineer,< 1 years,Under 1 year,0-49 employees,1-2,$0-999,$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",3,1,3,3
18-21,Woman,Brazil,Bachelor’s degree,Student,1-2 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,0,0
22-24,Woman,India,Master’s degree,Business Analyst,< 1 years,Under 1 year,0-49 employees,0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,3,1,5
35-39,Man,China,Master’s degree,DBA/Database Engineer,10-20 years,2-3 years,"1000-9,999 employees",1-2,"> $500,000","$100,000 or more ($USD)","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,4,4
22-24,Man,India,Bachelor’s degree,Data Analyst,1-2 years,Under 1 year,0-49 employees,15-19,,,,1,2,1,2
